bucket, num, reported
15bc84b02c8166990da8e45fabd2dd4a,2,HIGH
286288399eaed14abfbd029e46d2afc7,2,HIGH
32542ff7648e1c97fe97090831c8a11d,2,HIGH
399c9f66f9371a2a0fb6af6ee8ab6443,2,HIGH
f6e89b26d69668b6a1732af4a92249ed,2,HIGH
a27013cd51b7743533c70a2707a3f5b4,2,HIGH
5c1cd56d0868005a8199bb918d0f5f07,2,HIGH
4dbb00a62567d29ad28b4b9f56175dc9,2,HIGH
b911776292a853c4e34d768ad207913b,19,HIGH
bc51b41ff7a22a021b463e17ee9dc16b,12,HIGH
2e313d9cdebac79ed69a0c22cd638d50,3,HIGH
9c523b84403c36b8043bf5ae1ea5ca81,2,HIGH
68be171c48830eac4c2f4a2b80377fb2,5,HIGH
bc5febdc32a2a66ac8f307e644b0ea8e,2,HIGH
67270765af7139413508614f283b7d68,2,HIGH
5f4f667c3bb801233214ae8d41b88c62,4,HIGH
aa66373b5d75feafd4c7cc8b64e2cd2d,5,HIGH
f9bedeb6c0ac2ff606d723343ccb3327,2,HIGH
ff3f93eb6f1af0bcea026886d1b80150,4,HIGH
0f8fcc84bf87b1943520d24c581131f2,13,HIGH
3bf43a4366ee5aee7f04d25cc16e44f0,23,HIGH
7642ef501a68d6a18b9d0d1bf97935f1,2,HIGH
43da3bc5ebac7b3143e6146d6b7d6aae,3,HIGH
d6f453def45e9e3074792e463819d06f,2,HIGH
4de5662501be580c3dcf5eec34e9603b,2,HIGH
caf078322b886864adeb2d49f17ffce3,3,HIGH
ad4de9abe034b8d31112b874799d1aab,2,HIGH
f14a0df6510e7b8f24f02c18a4a5af56,2,HIGH
77d9f640eb39dfc98ebb9b95b6a82f9a,2,HIGH
676790710e57e42cbc1fa5cafdfae83c,4,HIGH
4fbb47f53158c3da0eb0883700b69d4d,2,HIGH
af4eb4137781bfb90b0be3114f8fab60,2,HIGH
ec260b9e123f93eac381378814ddd6c6,2,HIGH
27ef8c019f6f737df0e3f2939dcf47e0,5,HIGH
475841d5bca2135db55967312321ef91,2,HIGH
a1ae71aa7bbed533d99753289ff7ae2c,2,HIGH
dd3b337cd10eee00781b63fbbe623779,2,HIGH
d497a36ce16407d2f577883d8c0facac,3,HIGH
bae4e44859328a551ea98143482e3e07,3,HIGH
27e07dde3693a8a5db36934c246098a9,7,HIGH
759af3006c4587ef88699b7e922647a9,2,HIGH
f410c75682a7bf795f4e6676305f3dcc,8,HIGH
ad142e0efa44a9dcd10e7e3931e8b096,3,HIGH
ce55b19a9a0ad958103a5c7eeb762f41,5,HIGH
c06312d4c3327c1ba1508e7b6a2f8de2,3,HIGH
9a29978a49ebae126e339e18254d6f14,3,HIGH
a3510f707d2626440e24bd8b876e66ba,2,HIGH
5ffeeff95643dfd91ff3fd419e961f9a,2,HIGH
bffae8b2872cdf61a2bee2a382599d0c,2,HIGH
612e352924429502305377ed7398ed6b,2,HIGH
e034423485576a9f5c25c36616331eda,2,HIGH
defa2609ce02d9a26907d22b3c864f7a,5,HIGH
ad199b558a825733c319d8c5503f2d07,2,HIGH
